K_h,T_mean,T_std,S_mean,S_std,FPR,FPR_lo,FPR_hi,FNR,FNR_lo,FNR_hi,FDR,FDR_lo,FDR_hi,FOR,FOR_lo,FOR_hi,YXB_A,YXB_B,YXB_C,YXB_E
9,18.54375,0.288880086792867,92.62,2.5575398532594,0.000755368511924032,0.0003659492430737,0.00155853623190195,0.00275103163686382,0.000754740770769575,0.00997480719147012,0.00956284153005465,0.00463974957462753,0.0196067730465453,0.000215936082919456,5.92182204131206e-05,0.000787072957281953,0.582528758075334,0.47249031026122,0.576796267384022,0.633066121696906
9.5,16.6764583333333,0.371729271331196,92.61,2.53817320770731,0.000647458724506313,0.000296764805102137,0.00141199052515828,0,4.33680868994202e-19,0.00525640576562691,0.00818553888130969,0.00375669892630017,0.0177426301018112,0,0,0.000414642814832366,0.647754179006768,0.524406133872522,0.642353780508286,0.705266981483985
10,16.2916666666667,0.280916609359684,92.58,2.58269298026363,0.000863464651915812,0.000437596452048806,0.00170308097629348,0.00137551581843191,0.000242847350316563,0.00775012951361674,0.0108991825613079,0.00553284893927842,0.0213585597316341,0.00010801468999784,1.90670090810582e-05,0.000611649888517363,0.662807266465883,0.537231855435963,0.657024565106481,0.721893312432112
10.5,15.885625,0.371517393416662,92.62,2.54566377206497,0.000755205523788974,0.000365870271067169,0.00155820012392373,0,0,0.00526360788423132,0.00954979536152797,0.00463340953604521,0.0195802070675776,0,2.71050543121376e-20,0.000414598065220541,0.680041817580517,0.550542841445097,0.674151117535682,0.740605534390143
11,16.40375,0.364431846835117,92.65,2.55198476927788,0.000647179376550534,0.000296636750948703,0.00141138163720361,0,4.33680868994202e-19,0.00525640576562691,0.00818553888130969,0.00375669892630017,0.0177426301018112,0,0,0.000414463874320606,0.657703338113555,0.532999329271775,0.652412944940035,0.718550590415915
11.5,16.6845833333333,0.291982452907423,92.68,2.54209012865835,0.000431452917700356,0.000167793289257466,0.0011089508871606,0.00137551581843191,0.000242847350316563,0.00775012951361674,0.00547945205479452,0.00213281936679105,0.0140036329684268,0.000107898144151921,1.9046435857846e-05,0.00061099021187781,0.646827020663338,0.524884260950757,0.641890857792393,0.705306052855925
12,16.965,0.227580599553058,92.63,2.50516637887758,0.000755205523788974,0.000365870271067169,0.00155820012392373,0.00137551581843191,0.000242847350316563,0.00775012951361674,0.00954979536152797,0.00463340953604521,0.0195802070675776,0.000107956385620209,1.9056716916851e-05,0.000611319872233006,0.636901048298107,0.515832654273831,0.630960285629403,0.692700216450216
